Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115139,11513,"Other miscellaneous crop products, n.e.c.","Autres produits de culture divers, n.c.a.","This subclass comprises other miscellaneous crop products, n.e.c.","Cette sous-classe comprend les autres produits de culture divers, n.c.a."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151391,115139,Hops,Houblon,Hops.,Houblon.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151392,115139,Natural vegetable fibres,Fibres végétales naturelles,Natural vegetable fibres.,Fibres végétales naturelles.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151393,115139,Medicinal plants (except cannabis),Plantes médicinales (sauf le cannabis),"Medicinal plants, except cannabis.","Plantes médicinales, sauf le cannabis."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151394,115139,Mustard seeds,Graines de moutarde,Unprocessed mustard seeds.,Graines de moutarde non transformées.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151395,115139,Other spice seeds,Autres graines d'épices,Other spice seeds.,Autres graines d'épices.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151396,115139,Vegetal gums,Gommes végétales,"Vegetal gums, resins, gum-resins and oleoresins.","Gommes, résines, gommes-résines et oléorésines végétales."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151397,115139,Other crude vegetable materials,Autres matières végétales brutes,Other crude vegetable materials.,Autres matières végétales brutes.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151398,115139,"Seeds for planting (except potato, flower, shrub and tree seeds)","Graines de semence (sauf les graines de pommes de terre, de fleurs, d'arbustes et d'arbres)","Seeds for planting, except potato, flower, shrub and tree seeds.","Graines de semence, sauf les graines de pommes de terre, de fleurs, d'arbustes et d'arbres."
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11514,115,"Floriculture and nursery products, and sod","Produits de floriculture et de pépinière, et gazon en plaques","This class comprises natural floriculture, nursery products and sod.","Cette classe comprend les produits de floriculture naturels, les produits de pépinière et le gazon en plaques."
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115141,11514,"Seeds of flowers, shrubs and trees","Graines de fleurs, d'arbustes et d'arbres","This subclass comprises flower, shrub and tree seeds.","Cette sous-classe comprend les graines de fleurs, d'arbustes et d'arbres."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151411,115141,Flower seeds,Graines de fleurs,Flower seeds and dormant bulbs.,Graines de fleurs et bulbes en repos végétatif.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151412,115141,Shrub seeds,Graines d'arbustes,Shrub seeds.,Graines d'arbustes.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151413,115141,Tree seeds,Graines d'arbres,Tree seeds.,Graines d'arbres.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),115142,11514,Christmas trees,Arbres de Noël,This subclass comprises natural Christmas trees.,Cette sous-classe comprend les arbres de Noël naturels.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1151421,115142,Christmas trees,Arbres de Noël,Natural Christmas trees.,Arbres de Noël naturels.
