Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
2,Class (five-digit standard codes or six-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six caractères alphanumériques),21311,213A,Cannabis seeds and vegetative plants,Graines et plants végétatifs de cannabis,"This class comprises cannabis viable seeds and cannabis vegetative plants mainly used for planting or sowing, cultivation and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, for non-medical (recreational, wellness, lifestyle, spiritual, etc.) and medical uses. Cannabis seeds and vegetative plants are commonly from three varieties which are cannabis Sativa, cannabis Indica and cannabis Ruderalis. Sativas and Indicas are the most commonly used cannabis strains for cultivation and propagation. The genetics of the different cannabis strains are widely mixed or cloned to create cannabis hybrids.","Cette classe comprend les graines viables et les plants végétatifs de cannabis généralement utilisés pour le plantage ou l'ensemencement, la culture et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, pour usages non médical (récréatif, bien-être, mode de vie, spirituel, etc.) et médical. Les graines et plants végétatifs de cannabis proviennent généralement de trois variétés, qui sont le cannabis Sativa, le cannabis Indica et le cannabis Ruderalis. Les variétés Sativa et Indica sont les plus souvent utilisées pour la culture et la multiplication. Les éléments composants de la génétique des différentes variétés de cannabis sont largement mélangés ou clonés pour créer des variétés hybrides de cannabis."
3,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),213111,21311,Cannabis seeds,Graines de cannabis,"This subclass comprises cannabis viable seeds mainly used for planting or sowing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk or prepared for retail sale.","Cette sous-classe comprend les graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac ou préparées pour la vente au détail."
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),2131111,213111,"Cannabis seeds, in bulk","Graines de cannabis, en vrac","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk, not prepared or packaged for retail sale.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac, non préparées ou emballées pour la vente au détail."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21311111,2131111,"Cannabis seeds, in bulk","Graines de cannabis, en vrac","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk, not prepared or packaged for retail sale.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac, non préparées ou emballées pour la vente au détail."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),213111111,21311111,"Cannabis seeds, in bulk","Graines de cannabis, en vrac","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk, not prepared or packaged for retail sale.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac, non préparées ou emballées pour la vente au détail."
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),2131112,213111,"Cannabis seeds, prepared for retail sale, for non-medical use","Graines de cannabis, préparées pour la vente au détail, pour usage non médical","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for non-medical use.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparées pour la vente au détail, pour usage non médical."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21311121,2131112,"Cannabis seeds, prepared for retail sale, for non-medical use","Graines de cannabis, préparées pour la vente au détail, pour usage non médical","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for non-medical use.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparées pour la vente au détail, pour usage non médical."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),213111211,21311121,"Cannabis seeds, prepared for retail sale, for non-medical use","Graines de cannabis, préparées pour la vente au détail, pour usage non médical","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for non-medical use.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparées pour la vente au détail, pour usage non médical."
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),2131113,213111,"Cannabis seeds, prepared for retail sale, for medical use","Graines de cannabis, préparées pour la vente au détail, pour usage médical","Cannabis viable seeds mainly used for planting or sowing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for medical use. To obtain cannabis for medical use, a patient or client generally needs to register with a governmental authority and a holder of a licence for sale of cannabis for medical purposes, and get an authorization (medical document and written order) from an authorized health care practitioner.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparées pour la vente au détail, pour usage médical. Pour obtenir le cannabis pour usage médical, un patient ou client a généralement besoin de s'enregistrer auprès d'une autorité gouvernementale et d'un titulaire d'une licence de vente de cannabis à des fins médicales, et d'obtenir une autorisation (document médical et commande écrite) d'un praticien de la santé autorisé."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21311131,2131113,"Cannabis seeds, prepared for retail sale, for medical use","Graines de cannabis, préparées pour la vente au détail, pour usage médical","Cannabis viable seeds mainly used for planting or sowing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for medical use. To obtain cannabis for medical use, a patient or client generally needs to register with a governmental authority and a holder of a licence for sale of cannabis for medical purposes, and get an authorization (medical document and written order) from an authorized health care practitioner.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparées pour la vente au détail, pour usage médical. Pour obtenir le cannabis pour usage médical, un patient ou client a généralement besoin de s'enregistrer auprès d'une autorité gouvernementale et d'un titulaire d'une licence de vente de cannabis à des fins médicales, et d'obtenir une autorisation (document médical et commande écrite) d'un praticien de la santé autorisé."
