Level,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1151221,115122AA,Flaxseed,Graines de lin,Unprocessed flaxseed.,Graines de lin non transformées.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11512211,1151221,Flaxseed,Graines de lin,Unprocessed flaxseed.,Graines de lin non transformées.
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A13,,Specialty crops,Cultures spéciales,"This section comprises chickpeas, lentils, dry beans, dry peas, canary seeds, sunflower seeds and mustard seeds.","Cette section comprend les pois chiches, les lentilles, les haricots secs, les pois secs, les graines de l'alpiste des Canaries, les graines de tournesol et les graines de moutarde."
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),114AA,A13,"Chickpeas, lentils, dry beans and dry peas","Pois chiches, lentilles, haricots secs et pois secs","This group comprises chickpeas, lentils, dry beans and dry peas.","Ce groupe comprend les pois chiches, les lentilles, les haricots secs et les pois secs."
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11431A,114AA,"Chickpeas, lentils, dry beans and dry peas","Pois chiches, lentilles, haricots secs et pois secs","This class comprises chickpeas, lentils, dry beans and dry peas.","Cette classe comprend les pois chiches, les lentilles, les haricots secs et les pois secs."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114311,11431A,Chickpeas,Pois chiches,This subclass comprises chickpeas.,Cette sous-classe comprend les pois chiches.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143111,114311,"Chickpeas, Desi",Pois chiches Desi,"Chickpeas, Desi.",Pois chiches Desi.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431111,1143111,"Chickpeas, Desi",Pois chiches Desi,"Chickpeas, Desi.",Pois chiches Desi.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143112,114311,"Chickpeas, Kabuli",Pois chiches Kabuli,"Chickpeas, Kabuli.",Pois chiches Kabuli.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431121,1143112,"Chickpeas, Kabuli",Pois chiches Kabuli,"Chickpeas, Kabuli.",Pois chiches Kabuli.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143113,114311,Other chickpeas,Autres pois chiches,Other chickpeas.,Autres pois chiches.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431131,1143113,Other chickpeas,Autres pois chiches,Other chickpeas.,Autres pois chiches.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114312,11431A,Lentils,Lentilles,This subclass comprises lentils.,Cette sous-classe comprend les lentilles.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143121,114312,Large green lentils,Grosses lentilles vertes,Large green lentils.,Grosses lentilles vertes.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431211,1143121,Large green lentils,Grosses lentilles vertes,Large green lentils.,Grosses lentilles vertes.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143122,114312,Red lentils,Lentilles rouges,Red lentils.,Lentilles rouges.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431221,1143122,Red lentils,Lentilles rouges,Red lentils.,Lentilles rouges.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143123,114312,Small green lentils,Petites lentilles vertes,Small green lentils.,Petites lentilles vertes.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431231,1143123,Small green lentils,Petites lentilles vertes,Small green lentils.,Petites lentilles vertes.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143124,114312,Other lentils,Autres lentilles,Other lentils.,Autres lentilles.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431241,1143124,Other lentils,Autres lentilles,Other lentils.,Autres lentilles.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114313,11431A,Dry beans,Haricots secs,This subclass comprises dry beans.,Cette sous-classe comprend les haricots secs.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143131,114313,Dry white beans,Haricots secs blancs,Dry white beans.,Haricots secs blancs.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431311,1143131,Dry white beans,Haricots secs blancs,Dry white beans.,Haricots secs blancs.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143132,114313,Dry coloured beans,Haricots secs de couleur,Dry coloured beans.,Haricots secs de couleur.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431321,1143132,"Dry coloured beans, black","Haricots secs de couleur, noirs","Dry coloured beans, black.","Haricots secs de couleur, noirs."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431322,1143132,"Dry coloured beans, cranberry","Haricots secs de couleur, canneberges","Dry coloured beans, cranberry.","Haricots secs de couleur, canneberges."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431323,1143132,"Dry coloured beans, dark red kidney","Haricots secs de couleur, rognons rouge foncé","Dry coloured beans, dark red kidney.","Haricots secs de couleur, rognons rouge foncé."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431324,1143132,"Dry coloured beans, Great Northern","Haricots secs de couleur, Great Northern","Dry coloured beans, Great Northern.","Haricots secs de couleur, Great Northern."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431325,1143132,"Dry coloured beans, light red kidney","Haricots secs de couleur, rognons rouge pâle","Dry coloured beans, light red kidney.","Haricots secs de couleur, rognons rouge pâle."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431326,1143132,"Dry coloured beans, Pinto","Haricots secs de couleur, Pinto","Dry coloured beans, Pinto.","Haricots secs de couleur, Pinto."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431327,1143132,"Dry coloured beans, small red","Haricots secs de couleur, petits rouges","Dry coloured beans, small red.","Haricots secs de couleur, petits rouges."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431328,1143132,Other dry coloured beans,Autres haricots secs de couleur,Other dry coloured beans.,Autres haricots secs de couleur.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),114314,11431A,Dry peas,Pois secs,This subclass comprises dry peas.,Cette sous-classe comprend les pois secs.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143141,114314,Yellow dry peas,Pois secs jaunes,Yellow dry peas.,Pois secs jaunes.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431411,1143141,Yellow dry peas,Pois secs jaunes,Yellow dry peas.,Pois secs jaunes.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143142,114314,Green dry peas,Pois secs verts,Green dry peas.,Pois secs verts.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431421,1143142,Green dry peas,Pois secs verts,Green dry peas.,Pois secs verts.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1143143,114314,Other dry peas,Autres pois secs,Other dry peas.,Autres pois secs.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11431431,1143143,Other dry peas,Autres pois secs,Other dry peas.,Autres pois secs.
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),115AC,A13,"Canary seeds, sunflower seeds and mustard seeds","Graines de l'alpiste des Canaries, graines de tournesol et graines de moutarde","This group comprises canary seeds, unprocessed sunflower seeds and unprocessed mustard seeds.","Ce groupe comprend les graines de l'alpiste des Canaries, les graines de tournesol non transformées et les graines de moutarde non transformées."
