Level,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),111111,11111,Cattle and calves,Bovins et veaux,"This subclass comprises live beef and dairy cattle, and live calves.","Cette sous-classe comprend les bovins de boucherie et les bovins laitiers vivants, et les veaux vivants."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111111,111111,Cattle,Bovins,"Live beef and dairy cattle, 1 year and over.","Bovins de boucherie et bovins laitiers vivants, d'un an et plus."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111111,1111111,Cattle for slaughter,Bovins pour l'abattage,"Live beef and dairy cattle, 1 year and over, for slaughter.","Bovins de boucherie et bovins laitiers vivants, un an et plus, pour l'abattage."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111112,1111111,Cattle for feeding,Bovins pour l'engraissement,"Live beef and dairy cattle, 1 year and over, for feeding.","Bovins de boucherie et bovins laitiers vivants, un an et plus, pour l'engraissement."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111113,1111111,Other cattle,Autres bovins,"Other live beef and dairy cattle, 1 year and over, n.e.c.","Autres bovins de boucherie et bovins laitiers vivants, un an et plus, n.c.a."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111112,111111,Calves,Veaux,"Live calves, under 1 year.","Veaux vivants, de moins d'un an."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111121,1111112,Calves for slaughter,Veaux pour l'abattage,"Live calves, under 1 year, for slaughter.","Veaux vivants, moins d'un an, pour l'abattage."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111122,1111112,Calves for feeding,Veaux pour l'engraissement,"Live calves, under 1 year, for feeding.","Veaux vivants, moins d'un an, pour l'engraissement."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111123,1111112,Other calves,Autres veaux,"Other live calves, under 1 year, n.e.c.","Autres veaux vivants, moins d'un an, n.c.a."
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A22,,Hogs,Porcs,This section comprises live porcine animals.,Cette section comprend les porcins vivants.
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),111AB,A22,Hogs,Porcs,This group comprises live porcine animals.,Ce groupe comprend les porcins vivants.
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11112,111AB,Hogs,Porcs,This class comprises live porcine animals.,Cette classe comprend les porcins vivants.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),111121,11112,Hogs,Porcs,This subclass comprises live porcine animals.,Cette sous-classe comprend les porcins vivants.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111211,111121,Hogs for breeding,Porcs pour la reproduction,Live porcine animals raised for breeding.,Porcins vivants élevés pour la reproduction.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11112111,1111211,Hogs for breeding,Porcs pour la reproduction,Live porcine animals raised for breeding.,Porcins vivants élevés pour la reproduction.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111212,111121,Nursing and weaner hogs,Porcelets allaités et sevrés,"Live young pigs and piglets, weaned and unweaned, raised for meat production.","Jeunes porcs et porcelets vivants, sevrés et non sevrés, élevés pour la production de viande."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11112121,1111212,Nursing hogs,Porcelets allaités,"Live nursing hogs, less than 7 kg.","Porcelets vivants allaités, moins de 7 kg."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11112122,1111212,Weaner hogs,Porcelets sevrés,"Live weaner hogs, 7 to 22 kg.","Porcelets vivants sevrés, 7 à 22 kg."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111213,111121,Market hogs,Porcs de marché,"Live porcine animals 23 kg and over, raised for meat production.","Porcins vivants, 23 kg et plus, élevés pour la production de viande."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11112131,1111213,Market hogs,Porcs de marché,"Live porcine animals, 23 kg and over, raised for meat production.","Porcins vivants, 23 kg et plus, élevés pour la production de viande."
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A23,,"Chickens, turkeys, chicks, poults","Poulets, dindes et dindons, poussins, dindonneaux","This section comprises live chickens, turkeys, chicks and poults.","Cette section comprend les poulets, les dindes et dindons, les poussins et dindonneaux vivants."
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),111AC,A23,"Chickens, turkeys, chicks, poults","Poulets, dindes et dindons, poussins, dindonneaux","This group comprises live chickens, turkeys, chicks and poults.","Ce groupe comprend les poulets, les dindes et dindons, les poussins et dindonneaux vivants."
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11113A,111AC,"Chickens, turkeys, chicks, poults","Poulets, dindes et dindons, poussins, dindonneaux","This class comprises live chickens, turkeys, chicks and poults.","Cette classe comprend les poulets, les dindes et dindons, les poussins et dindonneaux vivants."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),111131,11113A,Chickens,Poulets,This subclass comprises live chickens.,Cette sous-classe comprend les poulets vivants.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111311,111131,Chickens for breeding,Poulets pour la reproduction,Live chickens raised for breeding.,Poulets vivants élevés pour la reproduction.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113111,1111311,Chickens for breeding,Poulets pour la reproduction,Live chickens raised for breeding.,Poulets vivants élevés pour la reproduction.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111312,111131,Hens and pullets for laying eggs,Poules et poulettes pour la ponte,Live hens and pullets raised for egg production.,Poules et poulettes vivantes élevées pour la production d'oeufs.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113121,1111312,Hens and pullets for laying eggs,Poules et poulettes pour la ponte,Live hens and pullets raised for egg production.,Poules et poulettes vivantes élevées pour la production d'oeufs.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111313,111131,Chickens for meat,Poulets pour la viande,Live chickens raised for meat production.,Poulets vivants élevés pour la production de viande.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113131,1111313,Chickens for meat,Poulets pour la viande,Live chickens raised for meat production.,Poulets vivants élevés pour la production de viande.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),111132,11113A,Turkeys,Dindes et dindons,This subclass comprises live turkeys.,Cette sous-classe comprend les dindes et les dindons vivants.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111321,111132,Turkeys for breeding,Dindes et dindons pour la reproduction,Live turkeys raised for breeding.,Dindes et dindons vivants élevés pour la reproduction.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113211,1111321,Turkeys for breeding,Dindes et dindons pour la reproduction,Live turkeys raised for breeding.,Dindes et dindons vivants élevés pour la reproduction.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111322,111132,Turkeys for meat,Dindes et dindons pour la viande,Live turkeys raised for meat production.,Dindes et dindons vivants élevés pour la production de viande.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113221,1111322,Turkeys for meat,Dindes et dindons pour la viande,Live turkeys raised for meat production.,Dindes et dindons vivants élevés pour la production de viande.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),111133,11113A,Chicks and poults,Poussins et dindonneaux,This subclass comprises live chicks and poults.,Cette sous-classe comprend les poussins et les dindonneaux vivants.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111331,111133,Chicks,Poussins,"Live chicks, from hatching until placed in raising facilities.","Poussins vivants, de l'éclosion jusqu'à leur arrivée aux installations d'élevage."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113311,1111331,Chicks,Poussins,"Live chicks, from hatching until placed in raising facilities.","Poussins vivants, de l'éclosion jusqu'à leur arrivée aux installations d'élevage."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1111332,111133,Poults,Dindonneaux,"Live poults, from hatching until placed in raising facilities.","Dindonneaux vivants, de l'éclosion jusqu'à leur arrivée aux installations d'élevage."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11113321,1111332,Poults,Dindonneaux,"Live poults, from hatching until placed in raising facilities.","Dindonneaux vivants, de l'éclosion jusqu'à leur arrivée aux installations d'élevage."
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A24,,Eggs in shell,Oeufs en coquille,This section comprises eggs in shell for consumption and for hatcheries.,Cette section comprend les oeufs en coquille aux fins de consommation et les oeufs fécondés en coquille pour couvoirs.
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),116AA,A24,Eggs in shell,Oeufs en coquille,This group comprises eggs in shell for consumption and for hatcheries.,Ce groupe comprend les oeufs en coquille aux fins de consommation et les oeufs fécondés en coquille pour couvoirs.
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11611,116AA,Eggs in shell,Oeufs en coquille,This class comprises eggs in shell for consumption and for hatcheries.,Cette classe comprend les oeufs en coquille aux fins de consommation et les oeufs fécondés en coquille pour couvoirs.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),116111,11611,Eggs in shell,Oeufs en coquille,This subclass comprises eggs in shell for consumption and for hatcheries.,Cette sous-classe comprend les oeufs en coquille aux fins de consommation et les oeufs fécondés en coquille pour couvoirs.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1161111,116111,Eggs in shell for consumption,Oeufs en coquille aux fins de consommation,Eggs in shell for consumption.,Oeufs en coquille aux fins de consommation.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11611111,1161111,Eggs in shell sold for consumption,Oeufs en coquille vendus aux fins de consommation,Eggs in shell sold for consumption.,Oeufs en coquille vendus aux fins de consommation.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1161112,116111,Eggs in shell for hatcheries,Oeufs en coquille pour couvoirs,Fertilized eggs in shell for hatcheries.,Oeufs fécondés en coquille pour couvoirs.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11611121,1161112,Eggs in shell for hatcheries,Oeufs en coquille pour couvoirs,Fertilized eggs in shell for hatcheries.,Oeufs fécondés en coquille pour couvoirs.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1161113,116111,"Eggs in shell, leakers and rejects","Oeufs en coquille, avec fuites et rejetés","Eggs in shell, leakers and rejects.","Oeufs en coquille, avec fuites et rejetés."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11611131,1161113,"Eggs in shell, leakers and rejects","Oeufs en coquille, avec fuites et rejetés","Eggs in shell, leakers and rejects.","Oeufs en coquille, avec fuites et rejetés."
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A25,,Unprocessed milk,Lait non transformé,This section comprises unprocessed milk.,Cette section comprend comprend le lait non transformé.
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),116AB,A25,Unprocessed milk,Lait non transformé,This group comprises unprocessed milk.,Ce groupe comprend comprend le lait non transformé.
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11612,116AB,Unprocessed milk,Lait non transformé,This class comprises unprocessed milk.,Cette classe comprend le lait non transformé.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),116121,11612,Unprocessed milk,Lait non transformé,This subclass comprises unprocessed milk.,Cette sous-classe comprend le lait non transformé.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1161211,116121,Unprocessed milk,Lait non transformé,Unprocessed milk.,Lait non transformé.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11612111,1161211,Unprocessed milk from bovine,Lait non transformé provenant de bovins,Unprocessed milk from bovine.,Lait non transformé provenant de bovins.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11612112,1161211,Unprocessed milk from goats and other animals,Lait non transformé provenant de chèvres et d'autres animaux,Unprocessed milk from goats and other animals.,Lait non transformé provenant de chèvres et d'autres animaux.
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A26,,"Cannabis seeds, vegetative plants and flowering tops (including leaves)","Graines, plants végétatifs et sommités fleuries de cannabis (y compris les feuilles)","This section comprises viable cannabis seeds, vegetative plants and flowering tops, including leaves.","Cette section comprend les graines viables, les plants végétatifs et les sommités fleuries de cannabis, y compris les feuilles."
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),213A,A26,"Cannabis seeds, vegetative plants and flowering tops (including leaves)","Graines, plants végétatifs et sommités fleuries de cannabis (y compris les feuilles)","This group comprises cannabis viable seeds and vegetative plants and fresh and dried cannabis (buds and leaves), for non-medical (recreational, wellness, lifestyle, spiritual, etc.) and medical uses. A plant of the genus Cannabis refers generally to three varieties which are cannabis Sativa, cannabis Indica and cannabis Ruderalis. Sativas and Indicas are the most commonly used cannabis strains for cultivation and propagation. The genetics of the different cannabis strains are widely mixed or cloned to create cannabis hybrids. Cannabis contains a number of active elements, including cannabinoids such as tetrahydrocannabinol (THC) or dronabinol, cannabidiol (CBD) and terpenes (aromatic compounds or chemical markers). Cannabis plants containing 0.3% w/w (weight for weight) of THC or less in the flowering tops and leaves - industrial hemp - and their derivatives with the THC concentration of 10 µg/g or less, as well as prescription drugs or pharmaceuticals containing cannabis, are excluded from this group.","Ce groupe comprend les graines viables et plants végétatifs de cannabis et le cannabis frais et séché (bourgeons et feuilles), pour usages non médical (récréatif, bien-être, mode de vie, spirituel, etc.) et médical. Un plant du genre Cannabis désigne en règle générale trois variétés, qui sont le cannabis Sativa, le cannabis Indica et le cannabis Ruderalis. Les variétés Sativa et Indica sont le plus souvent utilisées pour la culture et la multiplication. Les éléments composants de la génétique des différentes variétés de cannabis sont largement mélangés ou clonés pour créer des variétés hybrides de cannabis. Le cannabis comprend divers éléments actifs, y compris des cannabinoïdes comme le tétrahydrocannabinol (THC) ou la dronabinol, le cannabidiol (CBD) et les terpènes (composés aromatiques ou marqueurs chimiques). Les plants de cannabis dont les sommités fleuries et les feuilles ne contiennent pas plus de 0,3 % p/p (en poids ou poids pour poids) de THC - chanvre industriel - et leurs dérivés dont la concentration de THC est d'au plus 10 µg/g, ainsi que les drogues (médicaments) sur ordonnance ou les produits pharmaceutiques contenant du cannabis, sont exclus de ce groupe."
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),21311,213A,Cannabis seeds and vegetative plants,Graines et plants végétatifs de cannabis,"This class comprises cannabis viable seeds and cannabis vegetative plants mainly used for planting or sowing, cultivation and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, for non-medical (recreational, wellness, lifestyle, spiritual, etc.) and medical uses. Cannabis seeds and vegetative plants are commonly from three varieties which are cannabis Sativa, cannabis Indica and cannabis Ruderalis. Sativas and Indicas are the most commonly used cannabis strains for cultivation and propagation. The genetics of the different cannabis strains are widely mixed or cloned to create cannabis hybrids.","Cette classe comprend les graines viables et les plants végétatifs de cannabis généralement utilisés pour le plantage ou l'ensemencement, la culture et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, pour usages non médical (récréatif, bien-être, mode de vie, spirituel, etc.) et médical. Les graines et plants végétatifs de cannabis proviennent généralement de trois variétés, qui sont le cannabis Sativa, le cannabis Indica et le cannabis Ruderalis. Les variétés Sativa et Indica sont les plus souvent utilisées pour la culture et la multiplication. Les éléments composants de la génétique des différentes variétés de cannabis sont largement mélangés ou clonés pour créer des variétés hybrides de cannabis."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),213111,21311,Cannabis seeds,Graines de cannabis,"This subclass comprises cannabis viable seeds mainly used for planting or sowing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk or prepared for retail sale.","Cette sous-classe comprend les graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac ou préparées pour la vente au détail."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),2131111,213111,"Cannabis seeds, in bulk","Graines de cannabis, en vrac","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk, not prepared or packaged for retail sale.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac, non préparées ou emballées pour la vente au détail."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21311111,2131111,"Cannabis seeds, in bulk","Graines de cannabis, en vrac","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk, not prepared or packaged for retail sale.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac, non préparées ou emballées pour la vente au détail."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),2131112,213111,"Cannabis seeds, prepared for retail sale, for non-medical use","Graines de cannabis, préparées pour la vente au détail, pour usage non médical","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for non-medical use.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparées pour la vente au détail, pour usage non médical."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21311121,2131112,"Cannabis seeds, prepared for retail sale, for non-medical use","Graines de cannabis, préparées pour la vente au détail, pour usage non médical","Cannabis viable seeds mainly used for planting or growing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for non-medical use.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparées pour la vente au détail, pour usage non médical."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),2131113,213111,"Cannabis seeds, prepared for retail sale, for medical use","Graines de cannabis, préparées pour la vente au détail, pour usage médical","Cannabis viable seeds mainly used for planting or sowing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for medical use. To obtain cannabis for medical use, a patient or client generally needs to register with a governmental authority and a holder of a licence for sale of cannabis for medical purposes, and get an authorization (medical document and written order) from an authorized health care practitioner.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparées pour la vente au détail, pour usage médical. Pour obtenir le cannabis pour usage médical, un patient ou client a généralement besoin de s'enregistrer auprès d'une autorité gouvernementale et d'un titulaire d'une licence de vente de cannabis à des fins médicales, et d'obtenir une autorisation (document médical et commande écrite) d'un praticien de la santé autorisé."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21311131,2131113,"Cannabis seeds, prepared for retail sale, for medical use","Graines de cannabis, préparées pour la vente au détail, pour usage médical","Cannabis viable seeds mainly used for planting or sowing, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for medical use. To obtain cannabis for medical use, a patient or client generally needs to register with a governmental authority and a holder of a licence for sale of cannabis for medical purposes, and get an authorization (medical document and written order) from an authorized health care practitioner.","Graines viables de cannabis généralement utilisées pour le plantage ou l'ensemencement, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparées pour la vente au détail, pour usage médical. Pour obtenir le cannabis pour usage médical, un patient ou client a généralement besoin de s'enregistrer auprès d'une autorité gouvernementale et d'un titulaire d'une licence de vente de cannabis à des fins médicales, et d'obtenir une autorisation (document médical et commande écrite) d'un praticien de la santé autorisé."
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),213112,21311,Cannabis vegetative plants,Plants végétatifs de cannabis,"This subclass comprises vegetative or live plants of various strain types, mainly used for planting or cultivation, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk or prepared for retail sale.","Cette sous-classe comprend les plants végétatifs ou vivants de cannabis de diverses souches, généralement utilisés pour le plantage ou la culture, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac ou préparés pour la vente au détail."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),2131121,213112,"Cannabis vegetative plants, in bulk","Plants végétatifs de cannabis, en vrac","Cannabis vegetative or live plants of various strain types, mainly used for planting or cultivation, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk, not prepared or packaged for retail sale.","Plants végétatifs ou vivants de cannabis de diverses souches, généralement utilisés pour le plantage ou la culture, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac, non préparés ou emballés pour la vente au détail."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21311211,2131121,"Cannabis vegetative plants, in bulk","Plants végétatifs de cannabis, en vrac","Cannabis vegetative or live plants of various strain types, mainly used for planting or cultivation, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, in bulk, not prepared or packaged for retail sale.","Plants végétatifs ou vivants de cannabis de diverses souches, généralement utilisés pour le plantage ou la culture, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, en vrac, non préparés ou emballés pour la vente au détail."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),2131122,213112,"Cannabis vegetative plants, prepared for retail sale, for non-medical use","Plants végétatifs de cannabis, préparés pour la vente au détail, pour usage non médical","Cannabis vegetative or live plants of various strain types, mainly used for planting or cultivation, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for non-medical use.","Plants végétatifs ou vivants de cannabis de diverses souches, généralement utilisés pour le plantage ou la culture, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparés pour la vente au détail, pour usage non médical."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21311221,2131122,"Cannabis vegetative plants, prepared for retail sale, for non-medical use","Plants végétatifs de cannabis, préparés pour la vente au détail, pour usage non médical","Cannabis vegetative or live plants of various strain types, mainly used for planting or cultivation, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for non-medical use.","Plants végétatifs ou vivants de cannabis de diverses souches, généralement utilisés pour le plantage ou la culture, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparés pour la vente au détail, pour usage non médical."
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),2131123,213112,"Cannabis vegetative plants, prepared for retail sale, for medical use","Plants végétatifs de cannabis, préparés pour la vente au détail, pour usage médical","Cannabis vegetative or live plants of various strain types, mainly used for planting or cultivation, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for medical use. To obtain cannabis for medical use, a patient or client generally needs to register with a governmental authority and a holder of a licence for sale of cannabis for medical purposes, and get an authorization (medical document and written order) from an authorized health care practitioner.","Plants végétatifs ou vivants de cannabis de diverses souches, généralement utilisés pour le plantage ou la culture, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparés pour la vente au détail, pour usage médical. Pour obtenir le cannabis pour usage médical, un patient ou client a généralement besoin de s'enregistrer auprès d'une autorité gouvernementale et d'un titulaire d'une licence de vente de cannabis à des fins médicales, et d'obtenir une autorisation (document médical et commande écrite) d'un praticien de la santé autorisé."
