Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
4,Class (five-digit codes),Classe (codes à cinq chiffres),18311,183,Breakfast cereal and other cereal products,Céréales pour petit déjeuner et autres produits de céréales,This class comprises breakfast cereal and other cereal products.,Cette classe comprend les céréales pour petit déjeuner et autres produits de céréales.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183111,18311,Breakfast cereal and other cereal products,Céréales pour petit déjeuner et autres produits de céréales,This subclass comprises breakfast cereal and other cereal products.,Cette sous-classe comprend les céréales pour petit déjeuner et autres produits de céréales.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1831111,183111,Breakfast cereal and other cereal products,Céréales pour petit déjeuner et autres produits de céréales,Breakfast cereal and other cereal products.,Céréales pour petit déjeuner et autres produits de céréales.
4,Class (five-digit codes),Classe (codes à cinq chiffres),18312,183,"Flour mixes, dough and dry pasta","Mélanges de farine, pâtes et pâtes sèches","This class comprises flour mixes, dough and dry pasta.","Cette classe comprend les mélanges de farine, pâtes et pâtes sèches."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183121,18312,"Flour mixes, and refrigerated and frozen doughs, batters and breading","Mélanges de farine, pâtes réfrigérées et congelées, pâtes à frire et chapelure","This subclass comprises flour mixes, and refrigerated and frozen doughs, batters and breading.","Cette sous-classe comprend les mélanges de farine, les pâtes réfrigérées et congelées, les pâtes à frire et la chapelure."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1831211,183121,"Flour mixes, and refrigerated and frozen doughs, batters and breading","Mélanges de farine, pâtes réfrigérées et congelées, pâtes à frire et chapelure","Flour mixes, and refrigerated and frozen doughs, batters and breading.","Mélanges de farine, pâtes réfrigérées et congelées, pâtes à frire et chapelure."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183122,18312,Dry pasta,Pâtes alimentaires séchées,This subclass comprises dry pasta.,Cette sous-classe comprend les pâtes alimentaires séchées.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1831221,183122,Dry pasta,Pâtes alimentaires séchées,Dry pasta.,Pâtes alimentaires séchées.
4,Class (five-digit codes),Classe (codes à cinq chiffres),18313,183,"Bread, rolls and flatbreads","Pain, pains mollets et pains plats","This class comprises fresh and frozen bread, rolls and flatbreads.","Cette classe comprend le pain, les pains mollets et les pains plats, frais et congelés."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183131,18313,"Bread, rolls and flatbreads","Pain, pains mollets et pains plats","This subclass comprises fresh and frozen bread, rolls and flatbreads.","Cette sous-classe comprend le pain, les pains mollets et les pains plats, frais et congelés."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1831311,183131,Bread and rolls,Pain et pains mollets,Fresh and frozen bread and bread rolls.,Pain et pains mollets frais et congelés.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1831312,183131,Flatbreads,Pains plats,Fresh and frozen flatbreads.,Pains plats frais et congelés.
4,Class (five-digit codes),Classe (codes à cinq chiffres),18314,183,"Cookies, crackers and baked sweet goods","Biscuits, craquelins et pâtisseries sucrées cuites au four","This class comprises cookies, crackers and baked sweet goods.","Cette classe comprend les biscuits, les craquelins et les pâtisseries sucrées cuites au four."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183141,18314,Cookies and crackers,Biscuits et craquelins,This subclass comprises cookies and crackers.,Cette sous-classe comprend les biscuits et les craquelins.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1831411,183141,"Cookies, wafers and ice cream cones","Biscuits, gaufrettes et cornets de crème glacée","Cookies, wafers and ice cream cones.","Biscuits, gaufrettes et cornets de crème glacée."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1831412,183141,Crackers and similar products,Craquelins et produits similaires,Crackers and similar unsweetened dry products made from flour.,Craquelins et produits secs non sucrés similaires fabriqués avec de la farine.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183142,18314,Fresh baked desserts and doughnuts,Desserts cuits et beignes frais,This subclass comprises fresh baked desserts and fresh doughnuts.,Cette sous-classe comprend les desserts cuits frais et les beignes frais.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1831421,183142,Fresh baked desserts and doughnuts,Desserts cuits et beignes frais,Fresh baked desserts and fresh doughnuts.,Desserts cuits frais et beignes frais.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183143,18314,Frozen baked desserts and doughnuts,Desserts cuits et beignes congelés,This subclass comprises frozen baked desserts and frozen doughnuts.,Cette sous-classe comprend les desserts cuits congelés et les beignes congelés.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1831431,183143,Frozen baked desserts and doughnuts,Desserts cuits et beignes congelés,Frozen baked desserts and frozen doughnuts.,Desserts cuits congelés et beignes congelés.
4,Class (five-digit codes),Classe (codes à cinq chiffres),18321,183,Chocolate (except confectionery),Chocolat (sauf la confiserie),"This class comprises chocolate, except confectionery.","Cette classe comprend le chocolat, sauf la confiserie."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183211,18321,Chocolate (except confectionery),Chocolat (sauf la confiserie),"This subclass comprises chocolate, except confectionery.","Cette sous-classe comprend le chocolat, sauf la confiserie."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1832111,183211,"Drinking and baking chocolate and cocoa, in consumer packages","Chocolat et cacao pour boisson et cuisson, en unités de vente au détail","Drinking and baking chocolate and cocoa, in consumer packages.","Chocolat et cacao pour boisson et cuisson, en unités de vente au détail."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1832112,183211,"Chocolate and cocoa products, n.e.c.","Produits à base de chocolat et de cacao, n.c.a.","Chocolate and cocoa products, n.e.c.","Produits à base de chocolat et de cacao, n.c.a."
4,Class (five-digit codes),Classe (codes à cinq chiffres),18322,183,Confectionery products,Produits de confiseries,This class comprises confectionery products.,Cette classe comprend les produits de confiseries.
