Level,Hierarchical structure,Code,Parent,Code title,Superscript,Code definition
3,Subclass,116134,11613,Pregnant mare urine,,This subclass comprises pregnant mare urine.
4,Detail,1161341,116134,Pregnant mare urine,,Pregnant mare urine.
1,Group,121,,"Fish, crustaceans, shellfish and other fishery products",,"This group comprises fish, crustaceans, shellfish and other fishery products, live and dead, except processed beyond frozen or dressed."
2,Class,12111,121,"Fish, crustaceans, shellfish and other fishery products",,"This class comprises fish, crustaceans, shellfish and other fishery products, live and dead, except processed beyond frozen or dressed."
3,Subclass,121111,12111,"Live fish, crustaceans and shellfish",,"This subclass comprises live fish, crustaceans and shellfish."
4,Detail,1211111,121111,Live fish,,Live fish.
4,Detail,1211112,121111,Live roe,,Live roe.
4,Detail,1211113,121111,Live crustaceans,,Live crustaceans.
4,Detail,1211114,121111,Live shellfish,,Live shellfish.
3,Subclass,121112,12111,Fish (except live),,"This subclass comprises whole fish fresh, chilled or frozen, dressed or not dressed, but not further processed."
4,Detail,1211121,121112,Fish (except live),,"Whole fish fresh, chilled or frozen, dressed or not dressed, but not further processed."
3,Subclass,121113,12111,Crustaceans and shellfish (except live),,"This subclass comprises fresh, chilled and frozen unshelled crustaceans and shellfish, but not further processed."
4,Detail,1211131,121113,Crustaceans (except live),,"Fresh, chilled and frozen unshelled crustaceans, but not further processed."
4,Detail,1211132,121113,Shellfish (except live),,"Fresh, chilled and frozen unshelled shellfish, but not further processed."
3,Subclass,121114,12111,"Seaweed, Irish moss and other algae",,"This subclass comprises seaweed, Irish moss and other algae."
4,Detail,1211141,121114,Seaweed,,Seaweed.
4,Detail,1211142,121114,Irish moss,,Irish moss.
4,Detail,1211143,121114,Other algae,,Other algae.
1,Group,131,,"Logs, pulpwood and other forestry products",,"This group comprises wood logs, pulpwood and other forestry products."
2,Class,13111,131,Logs and bolts,,This class comprises wood logs and bolts.
3,Subclass,131111,13111,Hardwood logs and bolts (except fuel wood and pulpwood),,"This subclass comprises hardwood logs and bolts, except fuel wood and pulpwood."
4,Detail,1311111,131111,Hardwood logs and bolts (except fuel wood and pulpwood),,"Hardwood logs and bolts, except fuel wood and pulpwood."
3,Subclass,131112,13111,Softwood logs and bolts (except fuel wood and pulpwood),,"This subclass comprises softwood logs and bolts, except fuel wood and pulpwood."
4,Detail,1311121,131112,"Logs and bolts of spruce, pine and fir (except fuel wood and pulpwood)",,"Logs and bolts of spruce, pine and fir, except fuel wood and pulpwood."
4,Detail,1311122,131112,Logs and bolts of hemlock fir (except fuel wood and pulpwood),,"Logs and bolts of hemlock fir, except fuel wood and pulpwood."
4,Detail,1311123,131112,Logs and bolts of Douglas fir and Western larch (except fuel wood and pulpwood),,"Logs and bolts of Douglas fir and Western larch, except fuel wood and pulpwood."
4,Detail,1311124,131112,Logs and bolts of Western red cedar (except fuel wood and pulpwood),,"Logs and bolts of Western red cedar, except fuel wood and pulpwood."
4,Detail,1311125,131112,Other logs and bolts of softwood (except fuel wood and pulpwood),,"Other logs and bolts of softwood, except fuel wood and pulpwood."
2,Class,13112,131,Pulpwood,,This class comprises pulpwood.
3,Subclass,131121,13112,Hardwood pulpwood,,This subclass comprises hardwood pulpwood.
4,Detail,1311211,131121,Hardwood pulpwood,,Hardwood pulpwood.
3,Subclass,131122,13112,Softwood pulpwood,,This subclass comprises softwood pulpwood.
4,Detail,1311221,131122,Softwood pulpwood,,Softwood pulpwood.
2,Class,13113,131,"Rough untreated poles, posts and piling",,"This class comprises rough untreated poles, posts and piling."
3,Subclass,131131,13113,"Rough untreated poles, posts and piling",,"This subclass comprises rough untreated poles, posts and piling."
4,Detail,1311311,131131,"Rough untreated poles, posts and piling of softwood",,"Rough untreated poles, posts and piling of softwood."
