profile_id,business_type_id,naics_code,geography_code,incorporation_status_code,revenue_band,distribution,data_suppressed,partial_suppression
ISED_2024_beauty_salon_48_1_30k_5m_total_revenue,beauty_salon,812115,48,1,30k_5m,total_revenue,False,False
ISED_2024_beauty_salon_48_1_30k_5m_profit_margin,beauty_salon,812115,48,1,30k_5m,profit_margin,False,False
ISED_2024_beauty_salon_48_2_30k_5m_total_revenue,beauty_salon,812115,48,2,30k_5m,total_revenue,False,False
ISED_2024_beauty_salon_48_2_30k_5m_profit_margin,beauty_salon,812115,48,2,30k_5m,profit_margin,False,False
ISED_2024_beauty_salon_48_3_30k_5m_total_revenue,beauty_salon,812115,48,3,30k_5m,total_revenue,False,False
ISED_2024_beauty_salon_48_3_30k_5m_profit_margin,beauty_salon,812115,48,3,30k_5m,profit_margin,False,True
ISED_2024_small_motel_00_1_30k_5m_total_revenue,small_motel,721114,00,1,30k_5m,total_revenue,False,False
ISED_2024_small_motel_00_1_30k_5m_profit_margin,small_motel,721114,00,1,30k_5m,profit_margin,False,False
ISED_2024_small_motel_00_2_30k_5m_total_revenue,small_motel,721114,00,2,30k_5m,total_revenue,False,False
ISED_2024_small_motel_00_2_30k_5m_profit_margin,small_motel,721114,00,2,30k_5m,profit_margin,False,False
ISED_2024_small_motel_00_3_30k_5m_total_revenue,small_motel,721114,00,3,30k_5m,total_revenue,False,False
ISED_2024_small_motel_00_3_30k_5m_profit_margin,small_motel,721114,00,3,30k_5m,profit_margin,False,True
ISED_2024_small_motel_48_1_30k_5m_total_revenue,small_motel,721114,48,1,30k_5m,total_revenue,False,True
ISED_2024_small_motel_48_1_30k_5m_profit_margin,small_motel,721114,48,1,30k_5m,profit_margin,False,True
ISED_2024_small_motel_48_2_30k_5m_total_revenue,small_motel,721114,48,2,30k_5m,total_revenue,False,False
ISED_2024_small_motel_48_2_30k_5m_profit_margin,small_motel,721114,48,2,30k_5m,profit_margin,False,False
ISED_2024_small_motel_48_3_30k_5m_total_revenue,small_motel,721114,48,3,30k_5m,total_revenue,False,False
ISED_2024_small_motel_48_3_30k_5m_profit_margin,small_motel,721114,48,3,30k_5m,profit_margin,False,True
ISED_2024_janitorial_cleaning_company_00_1_30k_5m_total_revenue,janitorial_cleaning_company,561722,00,1,30k_5m,total_revenue,False,False
ISED_2024_janitorial_cleaning_company_00_1_30k_5m_profit_margin,janitorial_cleaning_company,561722,00,1,30k_5m,profit_margin,False,False
ISED_2024_janitorial_cleaning_company_00_2_30k_5m_total_revenue,janitorial_cleaning_company,561722,00,2,30k_5m,total_revenue,False,False
ISED_2024_janitorial_cleaning_company_00_2_30k_5m_profit_margin,janitorial_cleaning_company,561722,00,2,30k_5m,profit_margin,False,False
ISED_2024_janitorial_cleaning_company_00_3_30k_5m_total_revenue,janitorial_cleaning_company,561722,00,3,30k_5m,total_revenue,False,False
ISED_2024_janitorial_cleaning_company_00_3_30k_5m_profit_margin,janitorial_cleaning_company,561722,00,3,30k_5m,profit_margin,False,True
ISED_2024_janitorial_cleaning_company_48_1_30k_5m_total_revenue,janitorial_cleaning_company,561722,48,1,30k_5m,total_revenue,False,False
ISED_2024_janitorial_cleaning_company_48_1_30k_5m_profit_margin,janitorial_cleaning_company,561722,48,1,30k_5m,profit_margin,False,False
ISED_2024_janitorial_cleaning_company_48_2_30k_5m_total_revenue,janitorial_cleaning_company,561722,48,2,30k_5m,total_revenue,False,False
ISED_2024_janitorial_cleaning_company_48_2_30k_5m_profit_margin,janitorial_cleaning_company,561722,48,2,30k_5m,profit_margin,False,False
ISED_2024_janitorial_cleaning_company_48_3_30k_5m_total_revenue,janitorial_cleaning_company,561722,48,3,30k_5m,total_revenue,False,False
ISED_2024_janitorial_cleaning_company_48_3_30k_5m_profit_margin,janitorial_cleaning_company,561722,48,3,30k_5m,profit_margin,False,True
ISED_2024_security_systems_installer_00_1_30k_5m_total_revenue,security_systems_installer,561621,00,1,30k_5m,total_revenue,False,False
ISED_2024_security_systems_installer_00_1_30k_5m_profit_margin,security_systems_installer,561621,00,1,30k_5m,profit_margin,False,False
ISED_2024_security_systems_installer_00_2_30k_5m_total_revenue,security_systems_installer,561621,00,2,30k_5m,total_revenue,False,False
ISED_2024_security_systems_installer_00_2_30k_5m_profit_margin,security_systems_installer,561621,00,2,30k_5m,profit_margin,False,False
ISED_2024_security_systems_installer_00_3_30k_5m_total_revenue,security_systems_installer,561621,00,3,30k_5m,total_revenue,False,False
ISED_2024_security_systems_installer_00_3_30k_5m_profit_margin,security_systems_installer,561621,00,3,30k_5m,profit_margin,False,True
ISED_2024_security_systems_installer_48_1_30k_5m_total_revenue,security_systems_installer,561621,48,1,30k_5m,total_revenue,False,False
ISED_2024_security_systems_installer_48_1_30k_5m_profit_margin,security_systems_installer,561621,48,1,30k_5m,profit_margin,False,False
ISED_2024_security_systems_installer_48_2_30k_5m_total_revenue,security_systems_installer,561621,48,2,30k_5m,total_revenue,False,False
ISED_2024_security_systems_installer_48_2_30k_5m_profit_margin,security_systems_installer,561621,48,2,30k_5m,profit_margin,False,False
ISED_2024_security_systems_installer_48_3_30k_5m_total_revenue,security_systems_installer,561621,48,3,30k_5m,total_revenue,False,False
ISED_2024_security_systems_installer_48_3_30k_5m_profit_margin,security_systems_installer,561621,48,3,30k_5m,profit_margin,False,True
ISED_2024_pet_grooming_care_00_1_30k_5m_total_revenue,pet_grooming_care,812910,00,1,30k_5m,total_revenue,False,False
ISED_2024_pet_grooming_care_00_1_30k_5m_profit_margin,pet_grooming_care,812910,00,1,30k_5m,profit_margin,False,False
ISED_2024_pet_grooming_care_00_2_30k_5m_total_revenue,pet_grooming_care,812910,00,2,30k_5m,total_revenue,False,False
ISED_2024_pet_grooming_care_00_2_30k_5m_profit_margin,pet_grooming_care,812910,00,2,30k_5m,profit_margin,False,False
ISED_2024_pet_grooming_care_00_3_30k_5m_total_revenue,pet_grooming_care,812910,00,3,30k_5m,total_revenue,False,False
ISED_2024_pet_grooming_care_00_3_30k_5m_profit_margin,pet_grooming_care,812910,00,3,30k_5m,profit_margin,False,True
ISED_2024_pet_grooming_care_48_1_30k_5m_total_revenue,pet_grooming_care,812910,48,1,30k_5m,total_revenue,False,False
ISED_2024_pet_grooming_care_48_1_30k_5m_profit_margin,pet_grooming_care,812910,48,1,30k_5m,profit_margin,False,False
ISED_2024_pet_grooming_care_48_2_30k_5m_total_revenue,pet_grooming_care,812910,48,2,30k_5m,total_revenue,False,False
ISED_2024_pet_grooming_care_48_2_30k_5m_profit_margin,pet_grooming_care,812910,48,2,30k_5m,profit_margin,False,False
ISED_2024_pet_grooming_care_48_3_30k_5m_total_revenue,pet_grooming_care,812910,48,3,30k_5m,total_revenue,False,False
ISED_2024_pet_grooming_care_48_3_30k_5m_profit_margin,pet_grooming_care,812910,48,3,30k_5m,profit_margin,False,True
ISED_2024_tax_preparation_service_00_1_30k_5m_total_revenue,tax_preparation_service,541213,00,1,30k_5m,total_revenue,False,False
ISED_2024_tax_preparation_service_00_1_30k_5m_profit_margin,tax_preparation_service,541213,00,1,30k_5m,profit_margin,False,False
ISED_2024_tax_preparation_service_00_2_30k_5m_total_revenue,tax_preparation_service,541213,00,2,30k_5m,total_revenue,False,False
ISED_2024_tax_preparation_service_00_2_30k_5m_profit_margin,tax_preparation_service,541213,00,2,30k_5m,profit_margin,False,False
ISED_2024_tax_preparation_service_00_3_30k_5m_total_revenue,tax_preparation_service,541213,00,3,30k_5m,total_revenue,False,False
ISED_2024_tax_preparation_service_00_3_30k_5m_profit_margin,tax_preparation_service,541213,00,3,30k_5m,profit_margin,False,True
ISED_2024_tax_preparation_service_48_1_30k_5m_total_revenue,tax_preparation_service,541213,48,1,30k_5m,total_revenue,False,False
ISED_2024_tax_preparation_service_48_1_30k_5m_profit_margin,tax_preparation_service,541213,48,1,30k_5m,profit_margin,False,False
ISED_2024_tax_preparation_service_48_2_30k_5m_total_revenue,tax_preparation_service,541213,48,2,30k_5m,total_revenue,False,False
ISED_2024_tax_preparation_service_48_2_30k_5m_profit_margin,tax_preparation_service,541213,48,2,30k_5m,profit_margin,False,False
ISED_2024_tax_preparation_service_48_3_30k_5m_total_revenue,tax_preparation_service,541213,48,3,30k_5m,total_revenue,False,False
ISED_2024_tax_preparation_service_48_3_30k_5m_profit_margin,tax_preparation_service,541213,48,3,30k_5m,profit_margin,False,True
ISED_2024_bookkeeping_payroll_service_00_1_30k_5m_total_revenue,bookkeeping_payroll_service,541215,00,1,30k_5m,total_revenue,False,False
ISED_2024_bookkeeping_payroll_service_00_1_30k_5m_profit_margin,bookkeeping_payroll_service,541215,00,1,30k_5m,profit_margin,False,False
ISED_2024_bookkeeping_payroll_service_00_2_30k_5m_total_revenue,bookkeeping_payroll_service,541215,00,2,30k_5m,total_revenue,False,False
ISED_2024_bookkeeping_payroll_service_00_2_30k_5m_profit_margin,bookkeeping_payroll_service,541215,00,2,30k_5m,profit_margin,False,False
ISED_2024_bookkeeping_payroll_service_00_3_30k_5m_total_revenue,bookkeeping_payroll_service,541215,00,3,30k_5m,total_revenue,False,False
ISED_2024_bookkeeping_payroll_service_00_3_30k_5m_profit_margin,bookkeeping_payroll_service,541215,00,3,30k_5m,profit_margin,False,True
ISED_2024_bookkeeping_payroll_service_48_1_30k_5m_total_revenue,bookkeeping_payroll_service,541215,48,1,30k_5m,total_revenue,False,False
ISED_2024_bookkeeping_payroll_service_48_1_30k_5m_profit_margin,bookkeeping_payroll_service,541215,48,1,30k_5m,profit_margin,False,False
ISED_2024_bookkeeping_payroll_service_48_2_30k_5m_total_revenue,bookkeeping_payroll_service,541215,48,2,30k_5m,total_revenue,False,False
ISED_2024_bookkeeping_payroll_service_48_2_30k_5m_profit_margin,bookkeeping_payroll_service,541215,48,2,30k_5m,profit_margin,False,False
ISED_2024_bookkeeping_payroll_service_48_3_30k_5m_total_revenue,bookkeeping_payroll_service,541215,48,3,30k_5m,total_revenue,False,False
ISED_2024_bookkeeping_payroll_service_48_3_30k_5m_profit_margin,bookkeeping_payroll_service,541215,48,3,30k_5m,profit_margin,False,True
ISED_2024_cabinet_shop_00_1_30k_5m_total_revenue,cabinet_shop,337110,00,1,30k_5m,total_revenue,False,False
ISED_2024_cabinet_shop_00_1_30k_5m_profit_margin,cabinet_shop,337110,00,1,30k_5m,profit_margin,False,False
ISED_2024_cabinet_shop_00_2_30k_5m_total_revenue,cabinet_shop,337110,00,2,30k_5m,total_revenue,False,False
ISED_2024_cabinet_shop_00_2_30k_5m_profit_margin,cabinet_shop,337110,00,2,30k_5m,profit_margin,False,False
ISED_2024_cabinet_shop_00_3_30k_5m_total_revenue,cabinet_shop,337110,00,3,30k_5m,total_revenue,False,False
ISED_2024_cabinet_shop_00_3_30k_5m_profit_margin,cabinet_shop,337110,00,3,30k_5m,profit_margin,False,True
ISED_2024_cabinet_shop_48_1_30k_5m_total_revenue,cabinet_shop,337110,48,1,30k_5m,total_revenue,False,False
ISED_2024_cabinet_shop_48_1_30k_5m_profit_margin,cabinet_shop,337110,48,1,30k_5m,profit_margin,False,False
