naics_code,description_en,description_fr,year
3117,Seafood product preparation and packaging,Préparation et conditionnement de poissons et de fruits de mer,2024
3118,Bakeries and tortilla manufacturing,Boulangeries et fabrication de tortillas,2024
3119,Other food manufacturing,Fabrication d'autres aliments,2024
3121,Beverage manufacturing,Fabrication de boissons,2024
3122,Tobacco manufacturing,Fabrication du tabac,2024
3123,Cannabis product manufacturing,Fabrication de produits du cannabis,2024
3131,"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2024
3132,Fabric mills,Usines de tissus,2024
3133,Textile and fabric finishing and fabric coating,Finissage de textiles et de tissus et revêtement de tissus,2024
3141,Textile furnishings mills,Usines de textiles domestiques,2024
3149,Other textile product mills,Usines d'autres produits textiles,2024
3151,Apparel knitting mills,Usines de tricotage de vêtements,2024
3152,Cut and sew clothing manufacturing,Fabrication de vêtements coupés-cousus,2024
3159,Clothing accessories and other clothing manufacturing,Fabrication d'accessoires vestimentaires et d'autres vêtements,2024
3161,Leather and hide tanning and finishing,Tannage et finissage du cuir et des peaux,2024
3162,Footwear manufacturing,Fabrication de chaussures,2024
3169,Other leather and allied product manufacturing,Fabrication d'autres produits en cuir et produits analogues,2024
3211,Sawmills and wood preservation,Scieries et préservation du bois,2024
3212,"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2024
3219,Other wood product manufacturing,Fabrication d'autres produits en bois,2024
3221,"Pulp, paper and paperboard mills","Usines de pâte à papier, de papier et de carton",2024
3222,Converted paper product manufacturing,Fabrication de produits en papier transformé,2024
3231,Printing and related support activities,Impression et activités connexes de soutien,2024
3241,Petroleum and coal product manufacturing,Fabrication de produits du pétrole et du charbon,2024
3251,Basic chemical manufacturing,Fabrication de produits chimiques de base,2024
3252,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing","Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",2024
