node_id,source_code,label,definition,children_codes
CA_NAPCS_2022_622,622,Non-residential buildings,"This group comprises non-residential buildings.

A non-residential building refers to a construction in which more than half of the overall useful floor area is used or intended for non-residential purposes, namely for industrial, commercial or institutional purposes, including for the provision of services. A non-residential building unit is a structurally separated and independent place.

Non-residential buildings constructed entirely at the building site, as well as on-site fully assembled precast, panelized, modular and other prefabricated non-residential buildings are included in this group. Unassembled prefabricated non-residential buildings built in a factory, and manufactured or fully assembled non-residential buildings built in a factory and delivered ready for move-in, are excluded from this group.

A building for which more than half of the useful floor area is used or intended for dwelling units or accommodation units with shared bathroom and kitchen, or that area is used primarily to offer care and other assisted living services, is classified as a ""collective dwelling-type building"" in this group.

A building refers to any roofed independent free-standing permanent construction or structure usually enclosed within external walls or dividing walls that extend from the foundations to the roof and comprises one or more rooms or other space. A building can be entered or accessed by persons or animals and is suitable or intended for protecting them and objects. A building can also include a separately usable underground construction. In the case of interconnected structures, any unit separated from other units by a fire wall extending from roof to cellar is considered an individual building. If there is no fire wall, the interconnected building units are regarded as individual buildings if they have their own access or entrance, as well as their own utility system and are separately usable.",62211|62212|62213
CA_NAPCS_2022_623,623,Civil engineering works,"This group comprises civil engineering works (infrastructures) or construction works other than buildings and their associated site works, comprising a structure, such as highways, bridges, pipelines, nuclear power plants, water filtration plants and mine structures (except buildings). Construction works are also the results of operations such as dredging, dewatering or soil stabilization.",62311|62312|62313|62321|62322|62323|62331|62341|62351|62352|62361|62362
CA_NAPCS_2022_631,631,Industrial intellectual property,"This group comprises industrial intellectual property, such as patents and industrial designs, produced on own account for sale with all-attendant rights.",63111
CA_NAPCS_2022_632,632,Originals protected by copyright,This group comprises originals protected by copyrights produced on own account for sale with all-attendant rights.,63211|63221
CA_NAPCS_2022_641,641,Oil and gas and mineral exploration,"This group comprises certain services used in the search for, discovery and initial delimitation of previously unknown pools of oil or gas, unproven areas or deeper zones of known pools, previously unknown mineral deposits, or the re-evaluation of sub-marginal or neglected mineral deposits.",64111|64121
CA_NAPCS_2022_642,642,Research and experimental development services,"This group comprises research and experimental development services in natural sciences, engineering and technology, medical and health sciences, agricultural and veterinary sciences, social sciences, and humanities and the arts. Research and experimental development (R&D) comprise creative and systemic work undertaken in order to increase the stock of knowledge - including knowledge of humankind, culture and society - and to devise new applications of available knowledge. The term R&D refers to three types of activity: basic research, applied research and experimental development. Basic research refers to experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundations of phenomena and observable facts, without any particular application or use in view. Applied research refers to original investigation undertaken in order to acquire new knowledge. It is, however, directed primarily towards a specific, practical aim or objective. Experimental development is systematic work, drawing on knowledge gained from research and practical experience and producing additional knowledge, which is directed to producing new products or processes or to improving existing products or processes.",64231|64232|64233|64234|64241|64242
CA_NAPCS_2022_643,643,Custom software design and development services,"This group comprises software specifically designed and developed for an individual customer, and customization of existing software to meet the specific needs of the customer.",64311
CA_NAPCS_2022_651,651,Licensing of rights for commercial use of non-financial intangible assets (except products protected by copyright),"This group comprises licences for the use of non-financial intangible assets, except assets protected by copyrights, to generate revenues.",65111
CA_NAPCS_2022_661,661,"Support and custom work services for agriculture, forestry, hunting and fishing","This group comprises support services for crop production; support services for animal production, hunting and fishing; support services for forestry; and custom work services for forestry.",66111|66112|66113|66114
CA_NAPCS_2022_671,671,Mining and oil and gas support services,"This group comprises support services for mining, quarrying, and oil and gas extraction, except exploration.",67111|67112
CA_NAPCS_2022_672,672,Construction services,This group comprises construction services for buildings and engineering works.,67211
CA_NAPCS_2022_681,681,Manufacturing services,"This group comprises fabric weaving and finishing services; printing support services; contract printing services; coating, engraving, heat treating and similar metal processing services; and custom manufacturing services, except printing, and finishing of textiles and metals.",68111|68121|68122|68131|68141
CA_NAPCS_2022_711,711,Advertising space and time,"This group comprises provision of advertising space in newspapers, periodicals and other printed publications, provision of advertising air time on radio and television, and Internet advertising.",71111|71112|71121|71122|71131
CA_NAPCS_2022_712,712,"Advertising, public relations, and related services","This group comprises exclusive advertising rights, endorsements, and display advertising; advertising intermediary services; direct advertising services; full-service advertising campaigns; advertising creative services; advertising services n.e.c.; and public relations services.",71211|71221|71231|71241
CA_NAPCS_2022_721,721,Audio and video production services,"This group comprises audio recording services, copyright administration services, and audiovisual production, post-production and editing services.",72111|72121
CA_NAPCS_2022_722,722,Licensing of rights for commercial use of products protected by copyright (except software),"This group comprises licences for the use of intellectual property protected by copyrights, except software, to generate revenues.",72211|72212|72213|72221|72231
CA_NAPCS_2022_723,723,"Telecommunications, broadcasting distribution and related services","This group comprises fixed wholesale and retail telecommunications services; fixed wholesale and retail Internet access services; mobile wholesale and retail telecommunications services; cable, satellite, Internet and other fixed or mobile broadcasting distribution services of audiovisual and audio works; and online games, except gambling.",72331|72332|72341
CA_NAPCS_2022_751,751,Other information technology (IT) and information services,"This group comprises data processing, hosting and related services, and other information technology (IT) and information services.",75111|75121
CA_NAPCS_2022_761,761,Financial services (except insurance),"This group comprises financial system regulatory services; account and cash management products; loans and other credit financing products; investment products; financial planning services and trust products for individuals, businesses, institutions (except unincorporated) and governments; and products supporting financial services.",76111|76121|76131|76141|76151|76161|76171|76172|76181
CA_NAPCS_2022_762,762,Pension and life insurance products,This group comprises pension and annuity products; and life insurance products.,76211|76212
