node_id,source_code,parent_code,label,definition,path_string,comparator_class_type,default_offer_template
CA_NAPCS_2022_7233211,7233211,723321,"Fixed local and access telecommunications services (except Internet access), at retail",A landline-based telephone service that allows end users to make calls within a defined local area and provides access to a long distance network of the customer's choice.,"Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Fixed retail telecommunications services (except Internet access) / Fixed local and access telecommunications services (except Internet access), at retail",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233212,7233212,723321,"Fixed long distance telecommunications services (except Internet access), at retail",A landline-based telephone service allowing end users to make calls outside a local calling area.,"Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Fixed retail telecommunications services (except Internet access) / Fixed long distance telecommunications services (except Internet access), at retail",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233213,7233213,723321,Data transmission services,Telecommunications services making use of data protocols to transmit data over a public network.,"Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Fixed retail telecommunications services (except Internet access) / Data transmission services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233214,7233214,723321,Private network services,Telecommunications network segments for the exclusive use of the client on which no control or signalling is performed by the telecommunications service provider.,"Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Fixed retail telecommunications services (except Internet access) / Private network services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233221,7233221,723322,Dial-up Internet access services,Provision of fixed connections to the Internet to end users at download speeds not exceeding 64 Kbps. Dial-up Internet access is one of the oldest forms of Internet access technology. It is also referred to as low or narrowband speed Internet access. Narrowband is generally regarded as a category including any connection with a transmission or download speed of up to 1.5 Mbps.,"Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Fixed retail Internet access services / Dial-up Internet access services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233222,7233222,723322,"Fixed high-speed Internet access services, residential","Provision of fixed connections to the Internet to residential end users at download speeds generally greater than 256 Kbps. High-speed Internet is also referred to as broadband Internet, with fixed line types such as cable, digital subscriber line (DSL), terrestrial wireless access, direct-to-home satellite access, and fibre optic services. Even though the lowest speed limit for high-speed Internet is set to 256 Kbps in several countries, broadband is generally regarded as a category including any connection with a transmission or download speed of 1.5 Mbps or greater. Connection with download speed from 256 Kbps up to 1.5 Mbps is sometimes referred to as ""wideband"" or ""lite broadband"".","Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Fixed retail Internet access services / Fixed high-speed Internet access services, residential",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233223,7233223,723322,"Fixed high-speed Internet access services, non-residential","Provision of fixed connections to the Internet to non-residential or business end users at download speeds greater than 256 Kbps. High-speed Internet is also referred to as broadband Internet, with fixed line types such as cable, digital subscriber line (DSL), terrestrial wireless access, direct-to-home satellite access, and fibre optic services. Even though the lowest speed limit for high-speed Internet is set to 256 Kbps in several countries, broadband is generally regarded as a category including any connection with a transmission or download speed of 1.5 Mbps or greater. Connection with download speed from 256 Kbps up to 1.5 Mbps is sometimes referred to as ""wideband"" or ""lite broadband"".","Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Fixed retail Internet access services / Fixed high-speed Internet access services, non-residential",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233231,7233231,723323,"Mobile local and access telecommunications services, at retail",A wireless-based telecommunications service that allows end users to make and receive calls within a defined local area and provides access to a long distance network of the customer's choice. Mobile cell phone plans typically bundle voice and text messaging.,"Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Mobile retail telecommunications services / Mobile local and access telecommunications services, at retail",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233232,7233232,723323,"Mobile long distance telecommunications services, at retail",Wireless based telecommunications service allowing end users to make calls outside a local calling area.,"Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Mobile retail telecommunications services / Mobile long distance telecommunications services, at retail",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233233,7233233,723323,Mobile data services,"A service plan providing end users mobile access to text and multimedia messaging, along with access to the Internet through the cellular network. This service is also referred as ""wireless mobile Internet access"", at retail.","Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Mobile retail telecommunications services / Mobile data services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7233234,7233234,723323,Roaming services,A service that allows a cell phone subscriber to use his or her mobile device while in the service area of another service provider.,"Telecommunications, broadcasting distribution and related services / Retail telecommunication services / Mobile retail telecommunications services / Roaming services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234111,7234111,723411,Basic television programming packages (except online streaming),"Providing a basic package of movie and television programming services, basically to a fixed device, except using online streaming, for a monthly subscription fee. Basic packages are any first level programming package that must be purchased before being able to purchase additional programming packages. The basic programming packages are delivered using traditional over-the-air (OTA), cable and satellite television.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Basic television programming packages / Basic television programming packages (except online streaming)",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234112,7234112,723411,Online streaming of basic programming packages,"Providing a basic package of movie and television programming services over the Internet, to a fixed or mobile device, using online streaming, for a monthly subscription fee. Basic packages are any first level programming package that must be purchased before being able to purchase additional programming packages.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Basic television programming packages / Online streaming of basic programming packages",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234121,7234121,723412,Discretionary programming packages (except online streaming),"Providing movie and television programming services, in addition to those included in a basic package, for an additional monthly subscription fee, generally to a fixed device, except using online streaming. This programming service comprises bundles of channels or à la carte channels. The discretionary television programming packages are delivered using traditional cable and satellite television.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Discretionary television programming packages / Discretionary programming packages (except online streaming)",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234122,7234122,723412,Online streaming of discretionary programming packages,"Providing movie and television programming services over the Internet, in addition to those included in a basic package, for an additional monthly subscription fee, to a fixed or mobile device, using online streaming. This programming service comprises bundles of channels or à la carte channels.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Discretionary television programming packages / Online streaming of discretionary programming packages",ExternalProductDetail,BaseComparableOffer
